CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
01/01/2020 ,00244108     ,UNIVERSITY OF SOUTHERN MISSISSIPPI                                    ,UNIVERSITY OF SOUTHERN MISSISSIPPI - MAGNOLIA SPEECH SCHOOL           ,733 N. FLAG CHAPEL ROAD                                                ,JACKSON                  ,MS        ,30209-0000
01/01/2020 ,00726620     ,PIMA COUNTY COMMUNITY COLLEGE                                         ,PIMA COUNTY COMMUNITY COLLEGE - COMMUNITY CAMPUS                      ,401 NORTH BONITA AVENUE                                                ,TUCSON                   ,AZ        ,85709-5000
01/01/2020 ,02099551     ,CENTRAL COMMUNITY COLLEGE                                             ,CENTRAL COMMUNITY COLLEGE - NELSON LEARNING CENTER                    ,LAWRENCE/NELSON HIGH SCHOOL 850 S NEVADA                               ,NELSON                   ,NE        ,68961-0368
01/08/2020 ,03026521     ,REMINGTON COLLEGE                                                     ,REMINGTON COLLEGE - HONOLULU                                          ,1111 BISHOP STREET SUITE 400                                           ,HONOLULU                 ,HI        ,96813-2811
01/09/2020 ,00303003     ,OHIO CHRISTIAN UNIVERSITY                                             ,OHIO CHRISTIAN UNIVERSITY - FAIRFIELD CHRISTIAN ACADEMY               ,1965 NORTH COLUMBUS STREET                                             ,LANCASTER                ,OH        ,43130-1541
01/10/2020 ,00224312     ,CENTRAL MICHIGAN UNIVERSITY                                           ,CENTRAL MICHIGAN UNIVERSITY - MICHIGAN WARREN CENTER                  ,28241 MOUND ROAD SUITE C                                               ,WARREN                   ,MI        ,48092-5504
01/12/2020 ,00325990     ,EASTERN UNIVERSITY                                                    ,EASTERN UNIVERSITY - ACTS RETIREMENT - LIFE COMMUNITY                 ,812 NORTH BETHLEHEM PIKE                                               ,AMBLER                   ,PA        ,19002-2642
01/13/2020 ,00189328     ,UPPER IOWA UNIVERSITY                                                 ,UPPER IOWA UNIVERSITY - WAUSAU: NTC - ANTIGO                          ,312 FORREST AVENUE                                                     ,ANTIGO                   ,WI        ,54409-9108
01/13/2020 ,00189329     ,UPPER IOWA UNIVERSITY                                                 ,UPPER IOWA UNIVERSITY -  WAUSAU: NTC - PHILLIPS                       ,1408 PINE RIDGE ROAD                                                   ,PHILLIPS                 ,WI        ,54555-1520
01/13/2020 ,00189330     ,UPPER IOWA UNIVERSITY                                                 ,UPPER IOWA UNIVERSITY - WAUSAU: NTC - MEDFORD                         ,1001 PROGRESSIVE AVENUE                                                ,MEDFORD                  ,WI        ,54451-1781
