CLOSED DATE,OPEID,SCHOOL NAME,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
12/30/2021 ,04101300     ,CAROLINA SCHOOL OF BROADCASTING                                       ,CAROLINA SCHOOL OF BROADCASTING                                       ,3435 PERFORMANCE ROAD                                                  ,CHARLOTTE                ,NC        ,28214-8085
12/24/2021 ,04236700     ,BLUSH SCHOOL OF MAKEUP                                                ,BLUSH SCHOOL OF MAKEUP                                                ,ONE EMBARCADERO CENTER STE R-1206                                      ,SAN FRANCISCO            ,CA        ,94111-3628
12/23/2021 ,00221107     ,SPRINGFIELD COLLEGE                                                   ,SPRINGFIELD COLLEGE - TAMPA CAMPUS                                    ,10117 PRINCESS PALM AVENUE SECOND FLOOR                                ,TAMPA                    ,FL        ,33612-8302
12/20/2021 ,00248402     ,METROPOLITAN COMMUNITY COLLEGE                                        ,METROPOLITAN COMMUNITY COLLEGE - BUSINESS AND TECHNOLOGY              ,6899 EXECUTIVE DRIVE                                                   ,KANSAS CITY              ,MO        ,64120-1313
12/18/2021 ,01072768     ,DEVRY UNIVERSITY                                                      ,DEVRY UNIVERSITY - STOCKBRIDGE                                        ,675 SOUTHCREST PARKWAY SUITE 100                                       ,STOCKBRIDGE              ,GA        ,30281-0000
12/17/2021 ,00381900     ,OHIO VALLEY UNIVERSITY                                                ,OHIO VALLEY UNIVERSITY                                                ,1 CAMPUS VIEW DRIVE                                                    ,VIENNA                   ,WV        ,26105-8000
12/17/2021 ,00535303     ,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-LIVINGSTON                    ,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-LIVINGSTON-FITZGERALD COLLISIO,310 OAK HILL ROAD                                                      ,LIVINGSTON               ,TN        ,38570-6266
12/17/2021 ,04148700     ,AMERICAN INSTITUTE OF INTERIOR DESIGN                                 ,AMERICAN INSTITUTE OF INTERIOR DESIGN                                 ,13014 NORTH SAGUARO BOULEVARD SUITE 206                                ,FOUNTAIN HILLS           ,AZ        ,85268-3827
12/17/2021 ,04270101     ,DELTA DESIGNS COSMETOLOGY SCHOOL                                      ,DELTA DESIGNS COSMETOLOGY SCHOOL - WEST MEMPHIS                       ,103 S. AVALON                                                          ,WEST MEMPHIS             ,AR        ,72301-4165
12/13/2021 ,62098861     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - EL CENTRO LEANING CENTER III                  ,3095 NORTH IMPERIAL AVENUE                                             ,EL CENTRO                ,CA        ,92243-0000
12/11/2021 ,00173702     ,NORTHERN ILLINOIS UNIVERSITY                                          ,NORTHERN ILLINOIS UNIVERSITY - HOFFMAN ESTATES                        ,5555 TRILLIUM BLVD                                                     ,HOFFMAN ESTATES          ,IL        ,60192-3405
12/10/2021 ,00132906     ,UNIVERSITY OF THE PACIFIC                                             ,UNIVERSITY OF THE PACIFIC - ORGANIZATION BEHAVIOR                     ,1776 WEST MARCH LANE SUITE 290                                         ,STOCKTON                 ,CA        ,95207-6450
12/10/2021 ,00350209     ,LINCOLN MEMORIAL UNIVERSITY                                           ,LINCOLN MEMORIAL UNIVERSITY - ALCOA CITY CENTER                       ,234 EAST HOWE STREET                                                   ,ALCOA                    ,TN        ,37701-2236
12/10/2021 ,00350211     ,LINCOLN MEMORIAL UNIVERSITY                                           ,LINCOLN MEMORIAL UNIVERSITY - KINGSPORT HIGHER EDUCATION CENTER       ,300 WEST MARKET STREET                                                 ,KINGSPORT                ,TN        ,37660-4216
12/10/2021 ,03072600     ,DCI CAREER INSTITUTE                                                  ,DCI CAREER INSTITUTE                                                  ,366 ROUTE 18 BEAVER VALLEY MALL                                        ,MONACA                   ,PA        ,15061-2307
12/10/2021 ,10252578     ,WILLIAM WOODS UNIVERSITY                                              ,WILLIAM WOODS UNIVERSITY - BLUE SPRINGS                               ,BLUE SPRINGS HIGH SCHOOL 2000 NW ASHTON DRIVE                          ,BLUE SPRINGS             ,MO        ,64015-1769
12/10/2021 ,20252555     ,WILLIAM WOODS UNIVERSITY                                              ,WILLIAM WOODS UNIVERSITY - SIKESTON ST FRANICS XAVIER SCHOOL          ,SIKESTON ST FRANCIS XAVIER SCHOOL 106 N STODDARD ST                    ,SIKESTON                 ,MO        ,63801-4123
12/10/2021 ,20252556     ,WILLIAM WOODS UNIVERSITY                                              ,WILLIAM WOODS UNIVERSITY - SPRINGFIELD EXECUTIVE CONFERENCE CENTER    ,RC EVENTS & CONFERENCE CENTER 910 W BATTLEFIELD RD                     ,SPRINGFIELD              ,MO        ,65807-4130
